title,location,job_type,employer,category
Assistant Professor And Above - Phd In Geotechnical Engineering And Related ,Outside Kenya,Full Time,Dilla University,Teaching & Training
Assistant Professor And Above - Phd In Highway Engineering And Related ,Outside Kenya,Full Time,Dilla University,Teaching & Training
Assistant Professor And Above - Phd In Structural Engineering And Related ,Outside Kenya,Full Time,Dilla University,Teaching & Training
Assistant / Associate Professor - Phd In Curriculum And Instructional Supervision,Outside Kenya,Full Time,Dilla University,Teaching & Training
Assistant / Associate Professor - Phd In Measurement And Evaluation,Outside Kenya,Full Time,Dilla University,Teaching & Training
Assistant / Associate Professor - Phd In Forensic Psychology,Outside Kenya,Full Time,Dilla University,Teaching & Training
Assistant / Associate Professor - Phd In Community Psychology,Outside Kenya,Full Time,Dilla University,Teaching & Training
Assistant / Associate Professor - Phd In Counseling Psychology,Outside Kenya,Full Time,Dilla University,Teaching & Training
Lecturer And Above - Msc In Pediatrics Nurse,Outside Kenya,Full Time,Dilla University,Teaching & Training
Lecturer And Above - Msc In Neonatal Nurse,Outside Kenya,Full Time,Dilla University,Teaching & Training
Lecturer And Above - Msc In Emergency And Critical Care Nurse,Outside Kenya,Full Time,Dilla University,Teaching & Training
Lecturer/msc - Pharmaceutics,Outside Kenya,Full Time,Dilla University,Teaching & Training
Lecturer/msc - Medicinal Chemistry,Outside Kenya,Full Time,Dilla University,Teaching & Training
Lecturer/msc - Pharmacognosy,Outside Kenya,Full Time,Dilla University,Teaching & Training
Asst. Professor - Phd In Public Health ,Outside Kenya,Full Time,Dilla University,Teaching & Training
Asst. Professor - Phd In Reproductive Health ,Outside Kenya,Full Time,Dilla University,Teaching & Training
Asst. Professor - Phd In Mental Health ,Outside Kenya,Full Time,Dilla University,Teaching & Training
Asst. Professor - Anesthesiologist,Outside Kenya,Full Time,Dilla University,Teaching & Training
Assistant Professor And Above - Phd In Numerical Analysis,Outside Kenya,Full Time,Dilla University,Teaching & Training
Assistant Professor And Above - Phd In Algebra,Outside Kenya,Full Time,Dilla University,Teaching & Training
Assistant Professor And Above - Phd In Development Economics,Outside Kenya,Full Time,Dilla University,Teaching & Training
Ass. Professor - Phd In Auditing,Outside Kenya,Full Time,Dilla University,Teaching & Training
Ass. Professor - Phd In Accounting/finance,Outside Kenya,Full Time,Dilla University,Teaching & Training
"Sales Agents In Nyanza, Western & Rift Valley",Rest of Kenya,Full Time,Jua Letu Renewables Limited,Sales & Business Development
Purchasing Coordinator,Nairobi,Full Time,The African Talent Company (TATC),Supply Chain & Procurement
Senior Lecturer- 1 Position (Computer Systems/it),Rest of Kenya,Full Time,Umma University,Teaching & Training
Sales And Marketing Manager,Eldoret,Full Time,Doinyo Lessos Creameries Ltd,Sales & Business Development
Teachers - Athi River,Rest of Kenya,Full Time,Diamond Academy,Teaching & Training
Business Development Manager,Nairobi,Full Time,Impala Club,Sales & Business Development
Software Sales Executive,Nairobi,Full Time,Wise & Agile Solutions Ltd,Sales & Business Development
Mixologist,Nairobi,Full Time,Career King Kenya,Food Services
Cook ,Nairobi,Full Time,Career King Kenya,Food Services
Barman,Nairobi,Full Time,Career King Kenya,Trades & Services
Inventory Controller,Nairobi,Full Time,Lee & Myles Consulting Limited,Supply Chain & Procurement
Retail Merchandisers,Nairobi,Full Time,Lee & Myles Consulting Limited,Marketing & Communications
Retail Manager,Nairobi,Full Time,Lee & Myles Consulting Limited,Administrative
Director Of Retail Operations,Nairobi,Full Time,Lee & Myles Consulting Limited,Management
Store Sales Associates,Nairobi,Full Time,Lee & Myles Consulting Limited,Sales & Business Development
Loan Servicing & Collections Analyst,Nairobi,Full Time,Branch.co,IT & Telecoms
Human Resource Partner,Nairobi,Full Time,Twiga Foods,Recruitment
"Monitoring, Verification And Reporting Assistant Iii",Nairobi,Full Time,"International Business & Technical Consultants, Inc. (IBTCI)",Project Management
"Professional Skills Co-Coordinator, Kenya",Nairobi,Full Time,British Council Kenya,Teaching & Training
Large Branch (Contract),Nairobi,Full Time,PricewaterhouseCoopers (PwC) Kenya,Property Management
Sales And Marketing Manager,Nairobi,Full Time,The African Talent Company (TATC),Sales & Business Development
Development Manager,Nairobi,Full Time,The African Talent Company (TATC),Project Management
Graphic Designer,Nairobi,Full Time,Oxygen8 East Africa,Art & Design
Provider Network Coordinator - Kenya,Nairobi,Full Time,Allianz Partners,Project Management
Irrigation Accounts Manager,Nairobi,Full Time,The African Talent Company (TATC),Sales & Business Development
Partner Sales Manager,Nairobi,Full Time,Nokia Solutions and Networks Kenya Ltd,Sales & Business Development
Product Owner,Nairobi,Full Time,JUMO,IT & Telecoms
East Africa Regional Director,Nairobi,Full Time,IDinsight,Management
Senior Accountant,Nairobi,Full Time,The African Talent Company (TATC),Accounting & Auditing
Field Officer – Medicine Access (Nap) Project - Kakamega,Rest of Kenya,Part Time,Innovations for Poverty Action (IPA) - Kenya,Research
Research Associate - Pad Project,Nairobi,Full Time,Innovations for Poverty Action (IPA) - Kenya,Research
Investment Analyst,Nairobi,Full Time,Indepth Research Services,Accounting & Auditing
Inventory Officer,Nairobi,Full Time,Rusinga Schools Nairobi,Supply Chain & Procurement
Digital Marketer Intern,Nairobi,Full Time,Indepth Research Services,Marketing & Communications
Marketing Representatives,Nairobi,Full Time,GreenDora Enterprises Limited,Marketing & Communications
Chief Accountant,Nairobi,Full Time,Kenya National Commission for UNESCO (KNATCOM),Accounting & Auditing
Chief Operations Officer - Pharmaceutical Manufacturing,Nairobi,Full Time,The African Talent Company (TATC),Management
Sales Representative,Nairobi,Full Time,Jumbo Chem K Limited,Sales & Business Development
Executive Director,Outside Kenya,Full Time,The African Regional Labour Administration Centre (ARLAC),Management
Personal Assistant To The Md - Uganda,Outside Kenya,Full Time,The African Talent Company (TATC),Administrative
Application Developer,Nairobi,Full Time,Horizon Contact Centers Ltd,IT & Telecoms
Deputy Principal - Athi River,Rest of Kenya,Full Time,Mutungoni Schools,Administrative
Oracle Applications Database Administrator (Dba) ,Nairobi,Full Time,Cygnet Systems Ltd,IT & Telecoms
Geography/c.r.e Teacher - Athi River,Rest of Kenya,Full Time,Mutungoni Schools,Teaching & Training
Ecd/p1 Teacher - Athi River,Rest of Kenya,Full Time,Mutungoni Schools,Teaching & Training
Receptionist,Rest of Kenya,Full Time,Petanns Driving School & Computer College,Administrative
Procurement Manager,Nairobi,Full Time,FSI Capital Ltd,Supply Chain & Procurement
Trade Marketing Manager,Nairobi,Full Time,Coca-Cola Sabco,Marketing & Communications
